subject,class_year,section,theme,subtheme,lesson_link,article_link,homework_link,subtheme_number,umit_id,section_id,theme_id,subtheme_id,speaker_id,course_id,product_id,Месяц 1,month_1,Месяц 2,month_2,Месяц 3,month_3,Месяц 4,month_4,Месяц полугодовой,month_p,Порядок раздела (ГОДОВОЙ),theme_complexity,subtheme_complexity,subtheme_goal_threshold,Порядок тем в разделе (полугодовой),Порядок подтем в теме (подугодовой),На какие баллы (полугодовой)
mat,3,"Функции, графики. Производная, интеграл, первообразная",Графики функций,Логарифмическая функция,https://umschool.net/lessons/access/LjHU0jBJ6rr40ILXTLnInvNdKFZaFWoyeegTIInZz6N8T7f7ej8p8OO,,,1,309,215,1052,2346,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,41,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Графики функций,Тригонометрические функции,https://umschool.net/lessons/access/uAWyqYo6nYgy0Dv4hMTa6QmwoyfmxkHW9jj5lEOkJpJXnRYZoGhZG6r,,,9,310,215,1052,2347,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,49,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Графики функций,Гипербола - практика,https://umschool.net/lessons/access/nmW6d4UIKrxoJi6qf3EycZzcDAXwqQ0XM7GmK1HigVafmYXZjfwaLej,,,12,312,215,1052,2348,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,42,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Производная функции,Введение в производную,https://umschool.net/lessons/access/VaDl8rtt7WM0tG3yNLtNjMG2yGBmcVw7EY5yv6eDf1Kn9XEP0X0PNPQ,,,1,"313,314,319,323,331",215,1056,2349,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,39,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Графики функций,Тригонометрические графики,https://umschool.net/lessons/access/dDTpfSViwUIKYO1C3rf5Gpbjtul1WQBTATq20SJYdFf29LWbc7liC5A,,,10,"315,316,317",215,1052,2350,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,47,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Производная функции,Тригонометрическая функция,https://umschool.net/lessons/access/3oOX2E6kqj2MFI0w8wruMf0sZ7F2s9Qv4kyTxLq9suJupITsXUoSkd7,,,13,318,215,1056,2351,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,36,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Графики функций,"Геометрический смысл, возрастание и убывание функции",https://umschool.net/lessons/access/ePg3cLvqK3YLC3mV6SEjtK0kcPhDokXoQiJGJ912tVAkZIdN48WvqUs,,,10,320,215,1052,2352,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,107,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Производная функции,"Физический смысл производной, задачи на касательную, задачи на поиск максимального и минимального значения функции",https://umschool.net/lessons/access/RvNDeV8eazoVxRQJxcKVDweIcxpW8fQDGsS2om0HHMXDwpqVpgErBBO,,,1,"324,325,327,332,333",215,1056,2353,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,37,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Производная функции,Сложные задачи на геометрический смысл и касательную,https://umschool.net/lessons/access/ltNOjui4vI30hP2wNnKxuwJjQpnZ362Jj3XoWGqiwMZKCjBJ1HMQFHr,,,1,326,215,1056,2354,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,35,81,,,
mat,3,"Функции, графики. Производная, интеграл, первообразная",Производная функции,Производная по графику,https://umschool.net/lessons/access/VE6HhJ5R7eBIJ4tjZjJU8MHBBIdgJSwQUR0GtOzICi8d6q8X46SuoZU,,,15,328,215,1056,2355,1,,"3561,3603,6797,3985,4027,7005",oct,"3561,3603,6797",mar,"3985,4027,7005",,,,,,,7,1,34,81,,,
